ep=57 phase=boundary train_loss=0.087 train_acc=0.973 eval_loss=0.059 eval_acc=0.979 elapsed=130
ep=58 phase=boundary train_loss=0.087 train_acc=0.973 eval_loss=0.059 eval_acc=0.980 elapsed=131
ep=59 phase=boundary train_loss=0.087 train_acc=0.973 eval_loss=0.059 eval_acc=0.980 elapsed=130
ep=60 phase=boundary train_loss=0.087 train_acc=0.973 eval_loss=0.059 eval_acc=0.980 elapsed=130
ep=61 phase=boundary train_loss=0.086 train_acc=0.973 eval_loss=0.059 eval_acc=0.980 elapsed=131
ep=62 phase=boundary train_loss=0.086 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=63 phase=boundary train_loss=0.086 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=64 phase=boundary train_loss=0.086 train_acc=0.973 eval_loss=0.059 eval_acc=0.980 elapsed=130
ep=65 phase=boundary train_loss=0.086 train_acc=0.973 eval_loss=0.059 eval_acc=0.980 elapsed=131
ep=66 phase=boundary train_loss=0.086 train_acc=0.973 eval_loss=0.059 eval_acc=0.980 elapsed=131
ep=67 phase=boundary train_loss=0.086 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=68 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=69 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=70 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=71 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.059 eval_acc=0.980 elapsed=130
ep=72 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=73 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=74 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=75 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=76 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=77 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=78 phase=boundary train_loss=0.085 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=79 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=80 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=81 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=82 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=83 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=84 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=129
ep=85 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=86 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=87 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=88 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.057 eval_acc=0.980 elapsed=130
ep=89 phase=boundary train_loss=0.084 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=90 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=91 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=92 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=93 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=94 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=95 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=131
ep=96 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.057 eval_acc=0.980 elapsed=131
ep=97 phase=boundary train_loss=0.083 train_acc=0.974 eval_loss=0.058 eval_acc=0.980 elapsed=132
ep=98 phase=boundary train_loss=0.083 train_acc=0.973 eval_loss=0.058 eval_acc=0.980 elapsed=130
ep=99 phase=boundary train_loss=0.083 train_acc=0.974 eval_loss=0.058 eval_acc=0.980 elapsed=130
